id;state
3636;infected
3641;infected
3644;infected
3645;infected
3646;infected
3660;infected
2322;infected
3652;infected
3653;infected
3670;infected
3673;infected
3680;infected
3682;infected
1020;infected
3676;infected
3678;infected
3690;infected
3691;infected
2359;infected
3685;infected
3687;infected
1044;infected
3697;infected
3698;infected
1054;infected
2384;infected
1059;infected
1056;infected
1075;infected
1074;infected
4113;infected
1084;infected
1094;infected
4115;infected
4116;infected
4119;infected
4161;infected
4166;infected
4167;infected
220;infected
1909;infected
245;infected
246;infected
248;infected
1926;infected
273;infected
280;infected
1943;infected
287;infected
1941;infected
298;infected
1953;infected
1957;infected
3715;infected
3717;infected
3718;infected
3711;infected
3712;infected
3714;infected
3728;infected
3729;infected
3720;infected
3722;infected
3738;infected
3739;infected
3730;infected
3731;infected
3732;infected
3734;infected
3736;infected
3748;infected
3744;infected
3747;infected
3759;infected
3751;infected
3752;infected
3754;infected
3770;infected
2440;infected
1106;infected
1102;infected
3782;infected
2452;infected
2443;infected
2442;infected
3775;infected
3793;infected
1128;infected
2471;infected
3797;infected
4209;infected
1194;infected
302;infected
4255;infected
4256;infected
4286;infected
340;infected
342;infected
344;infected
345;infected
346;infected
348;infected
350;infected
351;infected
4292;infected
352;infected
353;infected
355;infected
373;infected
6034;infected
49;infected
6045;infected
6072;infected
3806;infected
3817;infected
3819;infected
3811;infected
3825;infected
3826;infected
3829;infected
3839;infected
3830;infected
3849;infected
3840;infected
3845;infected
3846;infected
3858;infected
3852;infected
3855;infected
1206;infected
2537;infected
2531;infected
3861;infected
3862;infected
3863;infected
3864;infected
1208;infected
2538;infected
2548;infected
1216;infected
2545;infected
3873;infected
3875;infected
3876;infected
3877;infected
3878;infected
1218;infected
2562;infected
2560;infected
2559;infected
2555;infected
2554;infected
1229;infected
2570;infected
2564;infected
1246;infected
2576;infected
2575;infected
1243;infected
1264;infected
2595;infected
2590;infected
1273;infected
2599;infected
1280;infected
4304;infected
4335;infected
4354;infected
4355;infected
4348;infected
421;infected
4356;infected
4359;infected
469;infected
478;infected
3093;infected
490;infected
491;infected
499;infected
3930;infected
2612;infected
2610;infected
2619;infected
3959;infected
2621;infected
3953;infected
2633;infected
1309;infected
2650;infected
3973;infected
3992;infected
1324;infected
1322;infected
3986;infected
3988;infected
2671;infected
1335;infected
1352;infected
2673;infected
1359;infected
2688;infected
1353;infected
5715;infected
2699;infected
1367;infected
5740;infected
1382;infected
5738;infected
1386;infected
5759;infected
502;infected
503;infected
507;infected
5775;infected
5776;infected
517;infected
3131;infected
521;infected
523;infected
534;infected
548;infected
3199;infected
580;infected
596;infected
599;infected
2709;infected
2708;infected
2713;infected
2710;infected
2715;infected
2714;infected
1415;infected
2745;infected
2749;infected
2748;infected
2771;infected
1435;infected
2773;infected
2789;infected
1452;infected
1489;infected
5852;infected
3205;infected
603;infected
609;infected
629;infected
636;infected
644;infected
679;infected
680;infected
2801;infected
2816;infected
2822;infected
2821;infected
2833;infected
1509;infected
2844;infected
1512;infected
2849;infected
2848;infected
1525;infected
2856;infected
1524;infected
2854;infected
2853;infected
2852;infected
1520;infected
2851;infected
2850;infected
1528;infected
1526;infected
2870;infected
2864;infected
2861;infected
1538;infected
2868;infected
1550;infected
2881;infected
2874;infected
2890;infected
2889;infected
1555;infected
2885;infected
1553;infected
2883;infected
1551;infected
2882;infected
2899;infected
2897;infected
2896;infected
2895;infected
2894;infected
1582;infected
1587;infected
3304;infected
3320;infected
737;infected
3376;infected
2072;infected
2082;infected
2907;infected
2902;infected
2901;infected
2939;infected
1613;infected
2954;infected
1629;infected
1626;infected
1633;infected
1638;infected
1636;infected
2975;infected
1657;infected
2988;infected
2985;infected
2983;infected
2997;infected
1665;infected
1678;infected
813;infected
3437;infected
3453;infected
3448;infected
3462;infected
3459;infected
3458;infected
3457;infected
3456;infected
3473;infected
3469;infected
3486;infected
3497;infected
3494;infected
3493;infected
3488;infected
2176;infected
2170;infected
2188;infected
2179;infected
1701;infected
1706;infected
1739;infected
1743;infected
1754;infected
1759;infected
1767;infected
1764;infected
1762;infected
1761;infected
1760;infected
1780;infected
1776;infected
1774;infected
1772;infected
1779;infected
1785;infected
1797;infected
3502;infected
3515;infected
916;infected
3520;infected
3536;infected
3533;infected
3550;infected
3561;infected
3560;infected
3558;infected
951;infected
2241;infected
3570;infected
3566;infected
3564;infected
3585;infected
3582;infected
3580;infected
3578;infected
3577;infected
3576;infected
2276;infected
2287;infected
2279;infected
4012;infected
4014;infected
4008;infected
4009;infected
4015;infected
4016;infected
4017;infected
4019;infected
4034;infected
4029;infected
4043;infected
4047;infected
4037;infected
4039;infected
4053;infected
111;infected
4069;infected
4061;infected
4059;infected
4087;infected
4089;infected
1800;infected
146;infected
1804;infected
1801;infected
4091;infected
1810;infected
1819;infected
1815;infected
1821;infected
1829;infected
1825;infected
1824;infected
178;infected
1836;infected
1842;infected
1840;infected
1848;infected
193;infected
1852;infected
1856;infected
1863;infected
1871;infected
1885;infected
1881;infected
1897;infected
1892;infected
3609;infected
3608;infected
3613;infected
3612;infected
3611;infected
3626;infected
3622;infected
3621;infected
