id;state
2305;recovered
2304;recovered
3630;recovered
3633;recovered
2308;recovered
3636;recovered
2307;infected
3650;recovered
1;recovered
2316;recovered
2;infected
3;infected
4;recovered
2313;infected
5;infected
2312;recovered
6;recovered
2310;recovered
8;recovered
3641;recovered
9;recovered
3642;recovered
3644;recovered
3645;recovered
3646;recovered
3660;recovered
3661;recovered
2330;recovered
2328;recovered
2327;recovered
2326;recovered
2324;recovered
2322;infected
3652;recovered
3653;recovered
3670;recovered
3673;recovered
2340;recovered
2337;recovered
1005;recovered
2336;recovered
1004;recovered
2334;recovered
2333;recovered
1001;recovered
2332;recovered
3664;recovered
3682;recovered
2352;recovered
1020;recovered
1016;recovered
2347;recovered
2346;infected
2345;recovered
1013;infected
3674;recovered
3676;recovered
3678;recovered
3690;recovered
3691;recovered
6720;recovered
1031;recovered
6718;recovered
2359;recovered
1026;recovered
2356;recovered
3685;recovered
3687;recovered
6714;infected
6730;infected
1044;recovered
1043;recovered
1042;recovered
2372;recovered
2370;recovered
1038;recovered
1037;recovered
2365;recovered
3696;recovered
3697;recovered
3698;recovered
6742;recovered
1055;recovered
1054;recovered
1053;recovered
2384;recovered
1052;recovered
1051;recovered
1050;recovered
2381;recovered
2378;recovered
5420;recovered
5422;infected
6752;recovered
1066;recovered
2397;recovered
1064;recovered
1063;recovered
1062;recovered
2390;infected
1059;recovered
1057;recovered
1056;recovered
2387;recovered
6743;recovered
6747;recovered
5419;recovered
5430;infected
4100;recovered
5431;infected
4101;recovered
5433;infected
1075;recovered
1074;recovered
1072;recovered
1070;recovered
5424;infected
5425;recovered
5428;infected
5429;recovered
1080;recovered
4110;recovered
4111;recovered
6772;infected
4112;recovered
6775;recovered
4113;recovered
1084;recovered
1082;infected
1081;recovered
4103;recovered
5434;recovered
5435;recovered
4105;recovered
6768;recovered
5437;recovered
4108;recovered
4109;infected
6782;recovered
4120;recovered
6781;recovered
6784;recovered
5454;recovered
4124;infected
5455;recovered
1094;recovered
4114;recovered
6777;recovered
4115;recovered
6776;recovered
4116;recovered
4118;recovered
4119;recovered
6790;recovered
4130;recovered
6793;recovered
5463;recovered
6795;recovered
4135;recovered
6788;recovered
4126;recovered
4127;recovered
4128;recovered
4140;recovered
4141;recovered
4143;infected
4144;infected
5475;recovered
4145;recovered
202;recovered
5468;recovered
209;recovered
4150;recovered
4153;recovered
4154;recovered
4157;recovered
210;recovered
4147;recovered
5478;infected
4148;recovered
5479;recovered
4149;recovered
4161;infected
4162;recovered
4166;recovered
4167;recovered
5490;recovered
4160;recovered
220;recovered
221;recovered
224;recovered
4158;recovered
5489;recovered
4159;recovered
7200;recovered
230;recovered
231;infected
234;recovered
237;recovered
238;recovered
7213;infected
1909;recovered
4189;recovered
243;recovered
245;recovered
246;infected
247;infected
248;infected
249;recovered
7206;recovered
1905;recovered
1904;recovered
7207;infected
1903;recovered
4194;recovered
7220;recovered
4195;recovered
4197;infected
4198;recovered
4199;infected
4190;recovered
4191;recovered
251;recovered
4192;recovered
252;infected
4193;infected
253;recovered
1910;recovered
1918;recovered
7218;infected
260;recovered
262;recovered
263;recovered
264;recovered
266;infected
267;recovered
1926;recovered
1925;recovered
1923;recovered
7247;infected
270;recovered
273;recovered
275;recovered
276;infected
277;recovered
1930;recovered
280;recovered
286;recovered
1943;recovered
287;recovered
1948;recovered
290;recovered
291;infected
293;recovered
295;recovered
296;recovered
298;recovered
1953;recovered
1959;recovered
1957;recovered
1956;recovered
1965;infected
1963;recovered
1961;infected
1960;infected
1969;recovered
1968;infected
7288;recovered
7287;recovered
1970;recovered
1979;infected
1978;recovered
1990;recovered
1985;recovered
1984;recovered
1981;infected
1980;infected
1997;recovered
1995;recovered
1994;recovered
1993;recovered
1992;recovered
1991;recovered
3705;recovered
3708;recovered
3700;recovered
9026;recovered
3717;infected
3718;infected
3719;recovered
3711;recovered
3712;recovered
3713;recovered
3714;recovered
3728;recovered
3729;recovered
3720;recovered
3722;recovered
2404;infected
2400;infected
3730;recovered
3731;recovered
3734;recovered
3736;infected
3748;recovered
3743;recovered
3745;infected
3747;recovered
2430;recovered
3759;recovered
2425;recovered
2423;infected
2422;infected
3751;recovered
3752;recovered
3753;recovered
3754;recovered
2429;recovered
3770;recovered
3771;recovered
1110;recovered
2441;infected
2440;recovered
1107;infected
1106;recovered
2435;recovered
1103;recovered
1102;recovered
2433;infected
1109;recovered
2439;recovered
3782;recovered
1121;recovered
2452;recovered
1120;recovered
1118;recovered
1117;recovered
1116;recovered
1114;recovered
1113;infected
1112;recovered
2443;recovered
1111;recovered
2442;infected
3774;recovered
3775;recovered
3777;recovered
6803;recovered
1119;recovered
3793;recovered
3794;recovered
1132;recovered
1130;recovered
2461;infected
2460;recovered
1128;recovered
2458;recovered
2456;infected
9090;recovered
2455;recovered
2454;recovered
1122;recovered
3784;recovered
2474;recovered
2471;infected
2470;recovered
2469;recovered
1136;recovered
2467;recovered
3796;recovered
3797;recovered
1154;recovered
1153;recovered
1152;recovered
2477;recovered
1145;recovered
2476;recovered
6838;recovered
5507;recovered
6837;recovered
5521;recovered
1165;recovered
2496;recovered
2495;recovered
2491;recovered
2490;recovered
1157;recovered
2488;recovered
2487;recovered
5511;recovered
4200;recovered
5531;recovered
4201;recovered
1175;recovered
1173;recovered
1169;recovered
1166;recovered
2497;recovered
5526;recovered
5527;infected
5543;recovered
1187;recovered
1186;recovered
1182;infected
1180;recovered
1177;recovered
4202;recovered
4203;recovered
4204;recovered
4206;infected
4209;recovered
1190;recovered
6880;infected
6883;infected
5552;recovered
5553;recovered
1198;recovered
1197;recovered
1196;recovered
1194;recovered
1193;recovered
1191;recovered
5544;recovered
4214;recovered
5546;recovered
4216;recovered
5547;recovered
5548;recovered
4219;recovered
5562;recovered
5556;recovered
5557;infected
4242;recovered
302;recovered
304;recovered
309;recovered
4250;recovered
5585;recovered
5586;recovered
4256;recovered
5591;recovered
5593;recovered
5594;recovered
4264;recovered
5595;recovered
5597;recovered
5588;recovered
5589;recovered
4271;recovered
8630;recovered
4274;recovered
4278;recovered
337;recovered
338;infected
339;recovered
4285;recovered
4286;recovered
4287;recovered
7313;recovered
340;recovered
341;recovered
342;recovered
344;recovered
345;recovered
346;recovered
347;recovered
348;recovered
4279;recovered
4296;recovered
4297;recovered
350;recovered
4291;recovered
351;recovered
4292;recovered
352;recovered
353;infected
355;recovered
